datetime,author_name,message,cleaned_message,label
2026-03-29 16:20:43,user374075778639604,salam kenal aja,
2026-03-29 16:21:22,surup345,WARNING⚠️ HENTIKAN LIVE ANDA DALAM WAKTU 2 MENIT JIKA TIDAK AKUN ANDA DI BANNED PERMANEN ⚠️,
2026-03-29 16:21:46,mrge43,ngefen aama kakak pengen ngasih tas boleh kak cek dm ya,
2026-03-29 16:21:53,surup345,KARENA ANDA JANDA GAJADI DI BANNED,
2026-03-29 16:22:10,muharfirmansya,[wow][wow],
2026-03-29 16:22:24,muharfirmansya,asli mana adx,
2026-03-29 16:22:28,dio_2105,mantaff,
2026-03-29 16:22:36,122mnurk.isaaan_,asli mana kak,
2026-03-29 16:22:43,agungrinaldi247,manis,
2026-03-29 16:22:51,agungrinaldi247,manis kaka,
2026-03-29 16:23:00,lahem6,pas,
2026-03-29 16:23:07,dio_2105,"mantaff sih ,sayang milik orang",
2026-03-29 16:23:08,bundhadeny2,hy,
2026-03-29 16:23:22,akunbaru6266,cantik banget bagus banget style nya,
2026-03-29 16:23:29,122mnurk.isaaan_,asli mana kak,
2026-03-29 16:23:38,andriawan384,hello tth ku yng cntik apkbr,
2026-03-29 16:23:39,jojo1408c,teh kenapah sih cantiknh awet,
2026-03-29 16:23:52,122mnurk.isaaan_,siap duit,
2026-03-29 16:24:05,rendyeunjangvsaclj,teh,
2026-03-29 16:24:13,andriawan384,tth LG di mna,
2026-03-29 16:24:20,dio_2105,duit ga tuh ..😁,
2026-03-29 16:24:28,irwan.irawan874,teteh ko pd merah pipi nya,
2026-03-29 16:24:33,laejoker7,salam pipi alus,
2026-03-29 16:24:41,alodie.shahia,teh spill eyeshafow & lippen yang dipakai dun,
2026-03-29 16:24:49,gandu.sadewo,mangan opo,
2026-03-29 16:25:07,irwan.irawan874,tth pipi nya merah,
2026-03-29 16:25:16,gandu.sadewo,mangan opo,
2026-03-29 16:25:19,fk4.2gd,Nyeepkeun koin we ieu mah,
2026-03-29 16:25:21,erick.dagul,hey istri,
2026-03-29 16:25:35,muhammadmahfud992,hayy mba,
2026-03-29 16:25:44,mak_itamswett,menyala merah nya,
2026-03-29 16:25:58,alodie.shahia,kirain teh palao wardah Glasting Liquid Lip😁,
2026-03-29 16:26:03,alodie.shahia,*pakai,
2026-03-29 16:26:13,fk4.2gd,Ges pami aya nu serius mah mangga ka bumina nyandak mahar min 100 gram bakal d tampi gera,
2026-03-29 16:26:15,topan.opan6,Lokasi mana kk,
2026-03-29 16:26:21,last_on_999,hai mantan,
